Tx-Rxdist[m],Volt[V],ReceivedPower[dBm],1step_diff[dB]
0.03925,0.287325,-64.062,0.44022222222223206
0.0785,0.2818222222222222,-64.50222222222223,0.5394248366012988
0.11775,0.2750794117647059,-65.04164705882353,6.332352941176467
0.157,0.19592500000000002,-71.374,0.17500000000001137
0.19625,0.19373749999999998,-71.549,1.5263333333333406
0.2355,0.21281666666666665,-70.02266666666667,1.2639999999999958
0.27475,0.1970166666666667,-71.28666666666666,3.8941666666666634
0.314,0.24569375,-67.3925,3.244500000000002
0.35325,0.28625,-64.148,2.3813333333333304
0.3925,0.25648333333333334,-66.52933333333333,7.271466666666669
0.43175,0.16559000000000001,-73.8008,1.220799999999997
0.471,0.18085,-72.58,5.119199999999992
0.51025,0.24484,-67.4608,1.6208000000000027
0.5495,0.2651,-65.84,1.0773333333333284
0.58875,0.2785666666666667,-64.76266666666668,3.5306666666666615
0.628,0.23443333333333335,-68.29333333333334,3.1836666666666673
0.66725,0.1946375,-71.477,2.448999999999998
0.7065,0.22525,-69.028,0.4519999999999982
0.74575,0.21960000000000002,-69.48,3.5559999999999974
0.785,0.26405,-65.924,0.4579999999999984
0.82425,0.269775,-65.46600000000001,4.484666666666655
0.8635,0.21371666666666667,-69.95066666666666,2.5566666666666578
0.90275,0.24567499999999998,-67.394,4.188000000000002
0.942,0.298025,-63.206,1.602800000000002
0.98125,0.27798999999999996,-64.8088,8.003199999999993
1.0205,0.17795,-72.812,8.424800000000005
1.05975,0.28326,-64.38719999999999,2.151199999999996
1.099,0.31015000000000004,-62.236,0.7586666666666773
1.13825,0.30066666666666664,-62.994666666666674,4.6473333333333215
1.1775,0.24257499999999999,-67.642,1.4939999999999998
1.21675,0.2239,-69.136,3.9826666666666597
1.256,0.27368333333333333,-65.15333333333334,3.3973333333333287
1.29525,0.31615,-61.75600000000001,0.3260000000000005
1.3345,0.320225,-61.43000000000001,2.134666666666668
1.37375,0.29354166666666665,-63.564666666666675,0.9153333333333293
1.413,0.2821,-64.48,0.1559999999999917
1.45225,0.28015,-64.636,0.6519999999999939
1.4915,0.2883,-63.984,6.130999999999993
1.53075,0.21166250000000003,-70.115,3.394999999999996
1.57,0.2541,-66.72,0.6189999999999998
1.60925,0.2463625,-67.339,3.037000000000006
1.6485,0.20839999999999997,-70.376,3.9466666666666725
1.68775,0.2577333333333333,-66.42933333333333,0.1913333333333327
1.727,0.260125,-66.238,3.486000000000004
1.76625,0.21655000000000002,-69.724,1.13600000000001
1.8055,0.23074999999999998,-68.588,1.4969999999999999
1.8447500000000001,0.24946250000000003,-67.091,4.9410000000000025
1.884,0.1877,-72.032,4.898399999999995
1.92325,0.24893,-67.1336,4.941599999999994
1.9625,0.3107,-62.19200000000001,0.573999999999991
2.00175,0.303525,-62.766,2.9299999999999997
2.041,0.2669,-65.696,3.1599999999999966
2.08025,0.2274,-68.856,5.559999999999988
2.1195,0.2969,-63.29600000000001,1.5549999999999997
2.15875,0.3163375,-61.74100000000001,0.015000000000000568
2.198,0.31615,-61.75600000000001,3.215999999999987
2.23725,0.27595000000000003,-64.972,3.3780000000000143
2.2765,0.233725,-68.35000000000001,1.1510000000000105
2.31575,0.24811250000000004,-67.199,1.1730000000000018
2.355,0.23345,-68.372,3.416799999999995
2.39425,0.27615999999999996,-64.9552,0.07520000000000948
2.4335,0.2771,-64.88,4.4493333333333425
2.47275,0.22148333333333334,-69.32933333333334,2.9973333333333443
2.512,0.25895,-66.332,1.4289999999999878
2.55125,0.2768125,-64.903,0.8129999999999882
2.5905,0.26665,-65.716,0.5290000000000106
2.62975,0.26003750000000003,-66.245,4.073
2.669,0.31094999999999995,-62.172000000000004,1.5959999999999965
2.70825,0.29100000000000004,-63.768,4.945999999999998
2.7475,0.22917500000000002,-68.714,5.688666666666663
2.78675,0.30028333333333335,-63.025333333333336,0.7953333333333319
2.826,0.310225,-62.230000000000004,4.319999999999993
2.86525,0.25622500000000004,-66.55,0.19999999999998863
2.9045,0.258725,-66.35000000000001,0.2733333333333263
2.94375,0.2553083333333333,-66.62333333333333,3.9366666666666674
2.983,0.2061,-70.56,7.623333333333335
3.02225,0.30139166666666667,-62.93666666666667,2.3286666666666633
3.0615,0.3305,-60.608000000000004,5.380800000000008
3.10075,0.26324,-65.98880000000001,1.3938666666666535
3.14,0.24581666666666666,-67.38266666666667,5.938666666666656
3.17925,0.32005,-61.44400000000001,0.3359999999999985
3.2185,0.31584999999999996,-61.78000000000001,2.0679999999999907
3.25775,0.29,-63.848,0.42799999999999727
3.297,0.29535,-63.42,3.6439999999999912
3.33625,0.24980000000000002,-67.064,2.5720000000000027
3.3755,0.21765,-69.636,2.506999999999991
3.41475,0.2489875,-67.129,1.0649999999999977
3.454,0.2623,-66.06400000000001,2.039199999999994
3.49325,0.23681000000000002,-68.1032,5.305199999999999
3.5325,0.303125,-62.798,0.4516000000000062
3.57175,0.29748,-63.24960000000001,0.6503999999999976
3.611,0.28935,-63.900000000000006,1.1319999999999908
3.65025,0.2752,-65.032,0.5619999999999976
3.6895000000000002,0.282225,-64.47,0.3166666666666629
3.7287500000000002,0.2861833333333333,-64.15333333333334,2.5506666666666717
3.768,0.25429999999999997,-66.70400000000001,0.04899999999999238
3.80725,0.2536875,-66.753,2.3870000000000005
3.8465,0.22385,-69.14,0.036000000000001364
3.88575,0.2234,-69.176,4.692000000000007
3.925,0.28205,-64.484,1.809599999999989
3.96425,0.30467,-62.674400000000006,2.739599999999996
4.0035,0.270425,-65.414,2.078000000000003
4.04275,0.24444999999999997,-67.492,2.513999999999996
4.082,0.275875,-64.97800000000001,0.6269999999999953
4.12125,0.2680375,-65.605,2.13633333333334
4.1605,0.24133333333333332,-67.74133333333334,4.058666666666653
4.19975,0.1906,-71.8,1.1599999999999966
4.239,0.1761,-72.96,2.3175999999999846
4.27825,0.20507,-70.64240000000001,0.3896000000000015
4.3175,0.2002,-71.03200000000001,5.177333333333351
4.35675,0.2649166666666667,-65.85466666666666,0.49066666666665526
4.396,0.27105,-65.364,4.940999999999988
4.43525,0.20928750000000002,-70.30499999999999,0.2569999999999908
4.4745,0.2125,-70.048,0.703000000000003
4.51375,0.2212875,-69.345,1.6430000000000007
4.553,0.20075,-70.988,2.9309999999999974
4.59225,0.23738749999999997,-68.057,0.0870000000000033
4.6315,0.238475,-67.97,1.2393333333333345
4.67075,0.22298333333333334,-69.20933333333333,2.0506666666666717
4.71,0.19735,-71.26,4.290000000000006
4.74925,0.250975,-66.97,1.7579999999999956
4.7885,0.27295,-65.212,0.9890000000000043
4.82775,0.2605875,-66.20100000000001,4.834999999999994
4.867,0.20015,-71.036,1.051000000000002
4.90625,0.1870125,-72.087,1.9869999999999948
